,name,Issue,PullRequestReviewComment,IssueComment,CommitComment,PullRequest,Push,Create/Delete
0,tensorflower-gardener,0,0,0,0,0,0,0
1,yongtang,5,0,40,0,46,142,54
2,gunan,0,0,0,0,0,4,0
3,caisq,15,13,24,0,58,140,38
4,mrry,1,0,3,0,0,0,0
5,benoitsteiner,0,0,0,0,0,0,0
6,mihaimaruseac,17,3,83,0,34,26,37
7,vrv,0,0,0,0,0,0,0
8,hawkinsp,39,22,75,0,33,20,7
9,jpienaar,1,15,13,0,10,78,2
10,River707,0,1,3,0,0,30,0
11,sanjoy,0,5,7,0,0,6,0
12,qlzh727,12,63,62,4,9,11,15
13,av8ramit,0,0,0,0,0,0,0
14,martinwicke,0,0,0,0,1,2,1
15,yifeif,1,0,4,0,0,0,0
16,cheshire,0,7,15,3,0,0,0
17,akuegel,0,69,6,0,6,12,2
18,allenlavoie,0,2,12,2,1,3,0
19,mdanatg,7,3,37,0,0,15,0
20,jsimsa,1,0,9,0,4,0,0
21,ebrevdo,1,0,10,0,0,6,2
22,alextp,0,0,1,0,0,0,0
23,annarev,0,0,0,0,0,1,0
24,smit-hinsu,0,2,5,0,0,0,0
25,joker-eph,0,27,11,1,3,223,1
26,d0k,0,1,3,0,1,23,0
27,MarkDaoust,8,11,34,0,17,28,3
28,andyly,0,0,0,0,0,0,0
29,advaitjain,14,6,19,0,30,118,12
30,ezhulenev,0,0,0,0,0,12,0
31,aaroey,0,0,0,0,0,4,0
32,jaingaurav,0,0,0,0,0,0,0
33,asimshankar,0,0,0,0,0,0,1
34,jdduke,0,0,0,0,0,0,0
35,skye,2,10,23,0,19,24,18
36,rchao,0,9,18,0,1,0,0
37,rohan100jain,2,5,20,0,0,0,0
38,deven-amd,0,2,40,1,44,75,94
39,nicolasvasilache,6,62,25,0,44,61,36
40,chsigg,3,0,4,0,0,2,0
41,antiagainst,8,56,44,0,33,44,32
42,fchollet,0,89,42,0,36,35,0
43,nouiz,0,3,25,5,5,12,7
44,karimnosseir,6,0,23,0,6,0,7
45,aaudiber,0,4,1,0,0,0,0
46,yunxing,0,0,0,0,0,0,0
47,feihugis,3,38,15,0,1,15,3
48,ilblackdragon,23,34,35,0,20,23,10
49,reedwm,6,9,20,0,3,1,4
50,liufengdb,0,0,0,0,0,0,0
51,petewarden,6,1,16,0,3,2,1
52,lrdxgm,0,0,0,0,0,0,0
53,edloper,0,0,6,0,1,1,0
54,abattery,5,0,19,0,3,9,1
55,timshen91,0,0,1,0,0,0,0
56,suharshs,0,0,0,0,0,0,0
57,renjie-liu,0,5,0,0,0,0,0
58,pavithrasv,0,0,0,0,0,0,0
59,crccw,0,0,0,0,0,0,0
60,saxenasaurabh,0,1,1,0,0,0,0
61,ftynse,5,10,7,0,24,75,23
62,pifon2a,0,0,1,0,3,16,2
63,jurahul,0,0,2,0,1,3,0
64,yuefengz,0,0,1,0,0,0,0
65,terrytangyuan,5,30,39,0,26,78,32
66,bixia1,0,138,37,0,0,1,0
67,tanzhenyu,0,0,3,0,0,0,0
68,sherhut,0,53,1,0,0,5,0
69,kaixih,0,3,8,0,4,24,7
70,multiverse-tf,0,11,12,0,1,0,0
71,xiejw,0,0,0,0,0,124,9
72,facaiy,0,0,0,0,0,0,0
73,ukoxyz,0,0,0,0,0,0,0
74,miaout17,3,0,10,0,0,0,0
75,kvignesh1420,3,7,27,0,17,52,15
76,k-w-w,1,9,2,0,2,6,0
77,psrivas2,0,0,0,0,0,0,0
78,aselle,0,0,3,0,3,1,1
79,bmzhao,0,0,0,0,0,2,0
80,jianlijianli,0,3,4,0,0,0,0
81,andrewharp,0,0,0,0,0,0,0
82,majnemer,0,2,0,0,0,0,0
83,vnghia,1,0,0,0,0,8,1
84,terryheo,3,20,14,0,2,2,3
85,case540,0,0,0,0,0,0,0
86,angerson,1,5,25,0,14,99,11
87,kenfranko,0,0,0,0,0,0,0
88,frreiss,10,9,4,0,11,32,28
89,thaink,0,6,12,0,1,0,0
90,trevor-m,2,4,2,0,2,2,0
91,gargn,0,0,0,0,0,0,0
92,haozha111,0,0,5,0,0,0,0
93,njeffrie,6,16,12,0,41,97,8
94,omalleyt12,0,0,0,0,0,0,0
95,blakehechtman,0,0,1,0,0,0,0
96,teijeong,0,0,7,0,0,0,0
97,ispirmustafa,0,0,0,0,0,0,0
98,rjpower,0,0,1,0,0,0,0
99,nairb774,2,0,1,0,0,10,2
