,name,target_code,target_comment,target_issue,other_code,other_comment,other_issue
0,tensorflower-gardener,0,0,0,0,0,0
1,yongtang,10,0,0,232,0,46
2,gunan,0,0,0,4,0,0
3,caisq,0,0,0,238,13,38
4,mrry,0,0,0,0,0,4
5,mihaimaruseac,0,0,0,97,3,100
6,benoitsteiner,0,0,0,0,0,0
7,vrv,0,0,0,0,0,0
8,hawkinsp,0,0,0,58,22,115
9,jpienaar,0,0,0,86,15,14
10,River707,0,0,0,30,1,3
11,sanjoy,0,0,0,6,5,7
12,qlzh727,4,0,0,31,67,67
13,av8ramit,0,0,0,0,0,0
14,martinwicke,0,0,0,8,3,0
15,yifeif,0,0,0,0,0,5
16,cheshire,0,0,0,0,10,16
17,akuegel,0,0,0,20,69,6
18,allenlavoie,0,0,0,4,3,12
19,mdanatg,0,0,0,15,3,45
20,jsimsa,0,0,0,4,0,10
21,ebrevdo,0,0,0,8,0,10
22,alextp,0,0,0,0,0,1
23,smit-hinsu,0,0,0,0,2,5
24,annarev,0,0,0,5,0,0
25,joker-eph,0,0,0,221,29,13
26,d0k,0,0,0,25,1,3
27,MarkDaoust,1,0,0,46,11,41
28,andyly,0,0,0,0,0,0
29,advaitjain,0,0,0,160,4,34
30,ezhulenev,0,0,0,12,0,0
31,aaroey,0,0,0,4,0,0
32,jaingaurav,0,0,0,0,0,0
33,asimshankar,0,0,0,1,0,0
34,jdduke,0,0,0,0,0,0
35,skye,3,0,0,56,10,26
36,rchao,0,0,0,1,9,18
37,rohan100jain,0,0,0,0,5,22
38,deven-amd,0,0,0,221,3,41
39,nicolasvasilache,0,0,0,142,57,36
40,chsigg,0,0,0,2,0,7
41,antiagainst,0,0,0,111,54,52
42,fchollet,0,0,0,69,91,42
43,nouiz,12,0,0,8,8,22
44,karimnosseir,0,0,0,13,0,30
45,aaudiber,0,0,0,0,4,1
46,yunxing,0,0,0,0,0,0
47,feihugis,0,0,0,20,38,18
48,ilblackdragon,0,0,0,53,34,58
49,reedwm,5,0,0,3,9,28
50,liufengdb,0,0,0,0,0,0
51,petewarden,0,0,0,6,1,22
52,lrdxgm,0,0,0,0,0,0
53,edloper,1,0,0,1,0,6
54,abattery,0,0,0,13,0,21
55,timshen91,0,0,0,0,0,1
56,suharshs,0,0,0,0,0,0
57,renjie-liu,0,0,0,0,5,0
58,pavithrasv,0,0,0,0,0,0
59,crccw,0,0,0,0,0,0
60,saxenasaurabh,0,0,0,0,1,1
61,ftynse,0,0,0,120,10,15
62,pifon2a,0,0,0,21,0,1
63,jurahul,0,0,0,4,0,2
64,yuefengz,0,0,0,0,0,1
65,terrytangyuan,0,0,0,132,33,42
66,bixia1,0,0,0,1,138,37
67,tanzhenyu,0,0,0,0,0,3
68,sherhut,0,0,0,5,53,1
69,kaixih,15,0,0,20,3,8
70,multiverse-tf,0,0,0,1,11,13
71,xiejw,0,0,0,129,0,0
72,facaiy,0,0,0,0,0,0
73,ukoxyz,0,0,0,0,0,0
74,miaout17,0,0,0,0,0,13
75,kvignesh1420,25,0,0,59,7,28
76,k-w-w,1,0,0,7,9,3
77,psrivas2,0,0,0,0,0,0
78,aselle,0,0,0,5,0,3
79,bmzhao,1,0,0,0,0,0
80,jianlijianli,0,0,0,0,3,4
81,andrewharp,0,0,0,0,0,0
82,majnemer,0,0,0,0,2,0
83,vnghia,0,0,0,9,0,1
84,terryheo,2,0,0,6,20,20
85,case540,0,0,0,0,0,0
86,angerson,2,0,0,122,12,27
87,kenfranko,0,0,0,0,0,0
88,frreiss,0,0,0,70,9,14
89,thaink,0,0,0,1,6,12
90,trevor-m,0,0,0,2,4,4
91,gargn,0,0,0,0,0,0
92,haozha111,0,0,0,0,0,5
93,njeffrie,0,0,0,149,16,15
94,omalleyt12,0,0,0,0,0,0
95,blakehechtman,0,0,0,0,0,1
96,teijeong,0,0,0,0,0,7
97,ispirmustafa,0,0,0,0,0,0
98,rjpower,0,0,0,0,0,1
99,nairb774,0,0,0,12,0,2
