author,commit_count,lines,value,added_lines_py,deleted_lines_py,added_functions,added_classes,added_comment,added_code_lines,deleted_code_lines,var_names_style_stat,fun_names_style_stat,class_names_style_stat,dmm_score
8bitmp3,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Aaron Meurer,170,0.0,746.89,7184,2849,21,1,636,6573,2578.0,"[27, 0, 7, 0, 12, 0, 145, 0]","[0, 0, 0, 0, 13, 0, 8, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",147.03991684908618
Abhay Raghuvanshi,5,0.0,2.54,23,23,0,0,0,23,23.0,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Abhinav Reddy,1,0.0,0.5,5,0,0,0,0,5,0.0,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.6
Abhishek Singh,1,0.0,0.11,1,1,0,0,0,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Adam,1,0.0,2.63,26,3,0,0,0,26,3.0,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
Adrian Gao,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Adrian Price-Whelan,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Aerysv,1,0.0,0.11,1,1,0,0,0,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Agbonze Osazuwa,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Ahmet Can Solak,2,0.0,0.42000000000000004,4,2,0,0,0,4,2.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
AhmetCanSolak,1,0.0,0.22,2,2,0,0,2,2,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Aitik Gupta,7,0.0,3.8800000000000003,37,18,0,0,4,33,18.0,"[4, 0, 0, 0, 4, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",9.823529411764707
Al-Baraa El-Hag,1,0.0,0.11,1,1,0,0,0,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Alban Colley,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Albert Villanova del Moral,2,0.0,17.59,168,79,0,0,1,167,78.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Alessia Marcolini,3,0.0,3.36,26,76,0,0,0,26,74.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",5.6
