,author,commit_count,lines,value,added_lines_py,deleted_lines_py,added_functions,added_classes,added_comment,added_code_lines,deleted_code_lines,var_names_style_stat,fun_names_style_stat,class_names_style_stat,dmm_score,var_names_style_stat_deduced,fun_names_style_stat_deduced,class_names_style_stat_deduced,var_names_style_freq,fun_names_style_freq,class_names_style_freq,scores,comment_to_code_ratio,pure_comment_lines,inline_comments,commented_code_ratio,inline_commented_ratio,fun_per_100_LOC
363,Sebastian Berg,764,0.0,705.57,6805,2507,32,22,962,5970,2382.0,"[86, 0, 7, 1, 176, 0, 464, 4]","[0, 0, 0, 0, 30, 0, 0, 2]","[0, 0, 22, 0, 0, 0, 0, 0]",585.0507224637307,"[86, 0, 7, 1, 640, 0, 0, 4]","[0, 0, 0, 0, 30, 0, 0, 2]","[0, 0, 22, 0, 0, 0, 0, 0]","[0.11653116531165311, 0.0, 0.009485094850948509, 0.0013550135501355014, 0.8672086720867209, 0.0, 0.005420054200542005]","[0.0, 0.0, 0.0, 0.0, 0.9375, 0.0, 0.0625]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",1349.0507224637308,0.1611390284757119,835,127,0.021273031825795645,0.13201663201663202,0.5360134003350084
76,Charles Harris,1052,0.0,384.31,3744,969,0,0,403,3374,901.0,"[1, 0, 0, 3, 29, 0, 23, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",75.46857205648507,"[1, 0, 0, 3, 52, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.017857142857142856, 0.0, 0.0, 0.05357142857142857, 0.9285714285714286, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1127.468572056485,0.11944279786603439,370,33,0.00978067575577949,0.08188585607940446,0.0
56,Bas van Beek,655,0.0,1610.42,15596,5082,17,10,5286,15338,4984.0,"[44, 0, 71, 71, 76, 5, 212, 144]","[0, 0, 0, 0, 16, 0, 1, 0]","[0, 0, 9, 0, 0, 1, 0, 0]",252.4723406376678,"[44, 0, 71, 71, 288, 5, 0, 144]","[0, 0, 0, 0, 17, 0, 0, 0]","[0, 0, 9, 0, 0, 1, 0, 0]","[0.07062600321027288, 0.0, 0.11396468699839486, 0.11396468699839486, 0.4622792937399679, 0.008025682182985553, 0.23113964686998395]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.9, 0.0, 0.0, 0.1, 0.0]",907.4723406376678,0.3446342417525101,258,5028,0.3278132742208893,0.9511918274687855,0.11083583257269526
272,Matti Picus,670,0.0,190.79,1467,4407,2,2,101,1375,4296.0,"[15, 0, 0, 1, 16, 0, 45, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]",37.01793330816777,"[15, 0, 0, 1, 61, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]","[0.19480519480519481, 0.0, 0.0, 0.012987012987012988, 0.7922077922077922, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",707.0179333081678,0.07345454545454545,92,9,0.006545454545454545,0.0891089108910891,0.14545454545454545
134,Eric Wieser,200,0.0,171.55,1603,1125,7,8,123,1487,1028.0,"[22, 0, 0, 0, 14, 0, 51, 1]","[0, 0, 0, 0, 5, 0, 1, 1]","[0, 0, 7, 1, 0, 0, 0, 0]",157.18224470816082,"[22, 0, 0, 0, 65, 0, 0, 1]","[0, 0, 0, 0, 6, 0, 0, 1]","[0, 0, 7, 1, 0, 0, 0, 0]","[0.25, 0.0, 0.0, 0.0, 0.7386363636363636, 0.0, 0.011363636363636364]","[0.0, 0.0, 0.0, 0.0, 0.8571428571428571, 0.0, 0.14285714285714285]","[0.0, 0.0, 0.875, 0.125, 0.0, 0.0, 0.0]",357.18224470816085,0.08271687962340282,116,7,0.004707464694014795,0.056910569105691054,0.4707464694014795
1,Aaron Meurer,170,0.0,746.89,7184,2849,21,1,636,6573,2578.0,"[27, 0, 7, 0, 12, 0, 145, 0]","[0, 0, 0, 0, 13, 0, 8, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",147.03991684908618,"[27, 0, 7, 0, 157, 0, 0, 0]","[0, 0, 0, 0, 21, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]","[0.14136125654450263, 0.0, 0.03664921465968586, 0.0, 0.8219895287958116, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",317.0399168490862,0.09675947056138749,611,25,0.0038034383082306404,0.03930817610062893,0.3194888178913738
361,Sayed Adel,134,0.0,624.0,6162,780,4,3,407,5819,746.0,"[60, 0, 0, 0, 229, 0, 254, 0]","[0, 0, 0, 0, 4, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0, 0]",144.05382361925743,"[60, 0, 0, 0, 483, 0, 0, 0]","[0, 0, 0, 0, 4, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0, 0]","[0.11049723756906077, 0.0, 0.0, 0.0, 0.8895027624309392, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",278.0538236192574,0.06994328922495274,343,64,0.010998453342498712,0.15724815724815724,0.06874033339061694
481,mattip,185,0.0,100.52,919,861,7,0,75,857,764.0,"[3, 1, 0, 1, 24, 0, 46, 0]","[0, 0, 0, 0, 7, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",72.69563529680164,"[3, 1, 0, 1, 70, 0, 0, 0]","[0, 0, 0, 0, 7, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.04, 0.013333333333333334, 0.0, 0.013333333333333334, 0.9333333333333333, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",257.69563529680164,0.08751458576429405,62,13,0.015169194865810968,0.17333333333333334,0.8168028004667445
153,Ganesh Kathiresan,81,0.0,47.52,458,172,4,3,26,432,162.0,"[16, 0, 0, 0, 9, 0, 28, 0]","[0, 0, 0, 0, 4, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]",60.571909538404384,"[16, 0, 0, 0, 37, 0, 0, 0]","[0, 0, 0, 0, 4, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]","[0.3018867924528302, 0.0, 0.0, 0.0, 0.6981132075471698, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",141.57190953840438,0.06018518518518518,26,0,0.0,0.0,0.9259259259259258
348,Ross Barnowski,104,0.0,136.03,1306,538,2,3,61,1247,519.0,"[29, 0, 0, 0, 15, 0, 36, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]",21.04692056309704,"[29, 0, 0, 0, 51, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]","[0.3625, 0.0, 0.0, 0.0, 0.6375, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",125.04692056309705,0.04891740176423416,59,2,0.0016038492381716118,0.03278688524590164,0.16038492381716118
